"id","english_definition","chinese_id.car","chinese_id.simplified_chinese","chinese_id.link","chinese_id.link_nuovo","rom_id.rom"
5281,"variant of 嘆|叹[tàn]","歎","叹",,,"tan/'"
8164,"variant of 嘩|哗[huá]","譁","哗",,,"hoa^"
8179,"variant of 噪[zào]","譟","噪",,,"sao/"
2964,"variant of 嚥|咽[yàn] or narrow pass/throat/pharynx or to choke (in crying)","咽","嚥",,,"ien/"
2965,"variant of 嚥|咽[yàn] or narrow pass/throat/pharynx or to choke (in crying)","咽","嚥",,,"in¯"
2966,"variant of 嚥|咽[yàn] or narrow pass/throat/pharynx or to choke (in crying)","咽","嚥",,,"ie˘"
2967,"variant of 嚥|咽[yàn] or narrow pass/throat/pharynx or to choke (in crying)","咽","嚥",,,"ien¯"
2968,"variant of 嚥|咽[yàn] or narrow pass/throat/pharynx or to choke (in crying)","咽","嚥",,,"iuen¯"
3190,"variant of 回[huí]","囘","回",,,"hoei^"
8949,"variant of 坑[kēng]/pit/hole","阬","坑",,,"keng¯'"
9000,"variant of 堤[dī]","隄","堤",,,"ti¯"
3341,"variant of 場|场[chǎng] or variant of 場|场[cháng]","塲","場",,,"chang^'"
3332,"variant of 填[tián]","塡","填",,,"tien/'"
3333,"variant of 填[tián]","塡","填",,,"tien¯'"
3334,"variant of 填[tián]","塡","填",,,"tien^'"
3335,"variant of 填[tián]","塡","填",,,"chin/"
3336,"variant of 填[tián]","塡","填",,,"tien\'"
3337,"variant of 填[tián]","塡","填",,,"chin¯"
2358,"variant of 契[qì]/contract","偰","偰",,,"sie˘"
2730,"variant of 奩|奁[lián]","匳","奩",,,"lien^"
3534,"variant of 妊[rèn]","姙","妊",,,"jin/"
3546,"variant of 妍/beautiful","姸","妍",,,"ien^"
3516,"variant of 妒[dù]","妬","妒",,,"xe˘"
5995,"variant of 妙[miào]","玅","妙",,,"niao/"
6795,"variant of 妝|妆[zhuāng]","粧","妝",,,"choang¯"
2220,"variant of 姪|侄[zhí]","侄","姪",,,"chė˘"
3588,"variant of 姻[yīn]","[.]_153_3",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=9950","https://dict.variants.moe.edu.tw/dictView.jsp?ID=9950","in¯"
3413,"variant of 婿[xù]","壻","婿",,,"si/"
3624,"variant of 媯|妫[Guī]","嬀","媯",,,"quei¯"
3623,"variant of 嫻|娴[xián]","嫺","嫻",,,"hien^"
8194,"variant of 宴[yàn]","讌","䜩",,,"ien/"
3967,"variant of 寓[yù]","庽","寓",,,"iụ/"
8044,"variant of 察[chá]","詧","察",,,"cha˘'"
6121,"variant of 寧|宁[níng]","甯","宁",,,"ning/"
6122,"variant of 寧|宁[níng]","甯","宁",,,"ning^"
3708,"variant of 寶|宝[bǎo]","寳","寶",,,"pao\"
3772,"variant of 尪[wāng]","尩","尪",,,"¨vang¯"
5629,"variant of 尿[niào] or to drown/to indulge/addicted to/to spoil (a child)","溺","溺",,,"niao/"
5630,"variant of 尿[niào] or to drown/to indulge/addicted to/to spoil (a child)","溺","溺",,,"niė˘"
9484,"variant of 屌[diǎo]/penis or 群[qun2]/(dialect) to pay attention to/(intensifier) damned/goddam","鳥","鸟",,,"niao\"
25,"variant of 屏[píng]","屛","屏",,,"ping\"
3797,"variant of 屏[píng]","屛","屏",,,"ping^'"
3605,"variant of 岩[yán]","巖","岩",,,"ien^"
8972,"variant of 峭[qiào]","陗","峭",,,"çiao/'"
3830,"variant of 崑|昆[kūn]","崐","崑",,,"quen¯"
3836,"variant of 崙|仑[lún]","崘","崙",,,"lụn^"
3019,"variant of 崟[yín] or old variant of 吟[yín] or to stutter/to shut one's mouth/Taiwan pr. [yín]","唫","吟",,,"in"
3021,"variant of 崟[yín] or old variant of 吟[yín] or to stutter/to shut one's mouth/Taiwan pr. [yín]","唫","吟",,,"kin\"
3994,"variant of 巡[xún]","廵","巡",,,"siụn^"
9690,"variant of 巽[xùn]","㢲","巽",,,"sụn/"
2176,"variant of 布[bù]/to announce/to spread","佈","布",,,"pu/"
6716,"variant of 帚[zhǒu]","箒","帚",,,"cheu\"
3899,"variant of 帡[píng]","帲","帡",,,"peng¯"
7603,"variant of 席[xí]/woven mat","蓆","席",,,"siė˘"
5889,"variant of 床[chuáng]","牀","床",,,"choang^'"
7546,"variant of 庵[ān]","菴","庵",,,"ngan¯"
2787,"variant of 廁|厕[cè]","厠","廁",,,"çụ/'"
3975,"variant of 廄|厩[jiù]","廐","廄",,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=57692","kieu/"
2794,"variant of 廝|厮[sī]","厮",,,,"su̇¯"
2795,"variant of 廝|厮[sī]","[.]_41_4_var",,,"https://dict.variants.moe.edu.tw/dictView.jsp?ID=2274","xi¯"
2796,"variant of 廝|厮[sī]","厮",,,,"su̇¯"
7828,"variant of 弄[lòng] or variant of 巷[xiàng]","衖","巷",,,"lung/"
6834,"variant of 弦/bow string/string of musical instrument/watch spring/chord (straight line joining two points on a curve)/hypotenuse","絃","絃",,,"hien^"
4035,"variant of 強|强[jiàng] or variant of 強|强[qiáng] or variant of 強|强[qiǎng]","彊","強",,,"kiang^'"
